rank,feature,gain_importance,cumulative_pct,cohens_d,abs_d,effect_size
2091,F3707_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2092,F3706_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2093,F3714_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2094,F3869_missing,0,100.0,-0.05685833424664422,0.05685833424664422,negligible
2095,F3868_missing,0,100.0,-0.05685833424664422,0.05685833424664422,negligible
2096,F3867_missing,0,100.0,-0.05685833424664422,0.05685833424664422,negligible
2097,F3866_missing,0,100.0,-0.05685833424664422,0.05685833424664422,negligible
2098,F3864_missing,0,100.0,-0.05685833424664422,0.05685833424664422,negligible
2099,F3863_missing,0,100.0,-0.05685833424664422,0.05685833424664422,negligible
2100,F3862_missing,0,100.0,-0.05685833424664422,0.05685833424664422,negligible
2101,F3757_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2102,F3857_missing,0,100.0,-0.05560196365680222,0.05560196365680222,negligible
2103,F3856_missing,0,100.0,-0.05685833424664422,0.05685833424664422,negligible
2104,F3843_missing,0,100.0,-0.016741308236170233,0.016741308236170233,negligible
2105,F3842_missing,0,100.0,-0.016741308236170233,0.016741308236170233,negligible
2106,F3841_missing,0,100.0,-0.016741308236170233,0.016741308236170233,negligible
2107,F3840_missing,0,100.0,-0.016741308236170233,0.016741308236170233,negligible
2108,F3839_missing,0,100.0,-0.016741308236170233,0.016741308236170233,negligible
2109,F3838_missing,0,100.0,-0.016741308236170233,0.016741308236170233,negligible
2110,F3858_missing,0,100.0,-0.05560196365680222,0.05560196365680222,negligible
2111,F3894_zscore,0,100.0,-0.12410056603451902,0.12410056603451902,negligible
2112,F3887_zscore,0,100.0,0.03716328078593195,0.03716328078593195,negligible
2113,F3836_zscore,0,100.0,0.16184438284316752,0.16184438284316752,negligible
2114,F2956_zscore,0,100.0,-0.28191537026008745,0.28191537026008745,small
2115,F2582_zscore,0,100.0,0.10854246928136581,0.10854246928136581,negligible
2116,F1692_zscore,0,100.0,-0.19305854550397358,0.19305854550397358,negligible
2117,F670_zscore,0,100.0,0.5930564360075614,0.5930564360075614,medium
2118,F531_zscore,0,100.0,0.040732762885914306,0.040732762885914306,negligible
2119,F3870_missing,0,100.0,-0.05560196365680222,0.05560196365680222,negligible
2120,ratio_F670_F1692,0,100.0,0.6819594876162673,0.6819594876162673,medium
2121,F3894_missing,0,100.0,-0.02050445806235037,0.02050445806235037,negligible
2122,F3876_missing,0,100.0,-0.02050595296728325,0.02050595296728325,negligible
2123,F3875_missing,0,100.0,-0.02050595296728325,0.02050595296728325,negligible
2124,F3874_missing,0,100.0,-0.026476633694904484,0.026476633694904484,negligible
2125,F3873_missing,0,100.0,-0.016741308236170233,0.016741308236170233,negligible
2126,F3872_missing,0,100.0,-0.016741308236170233,0.016741308236170233,negligible
2127,F3871_missing,0,100.0,-0.016741308236170233,0.016741308236170233,negligible
2128,F527_zscore,0,100.0,-0.06019756437936941,0.06019756437936941,negligible
2129,F3779_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2130,F3778_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2131,F3771_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2132,F3770_missing,0,100.0,0.7035290905998094,0.7035290905998094,medium
2133,F3769_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2134,F3768_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2135,F3767_missing,0,100.0,0.7035290905998094,0.7035290905998094,medium
2136,F3834_missing,0,100.0,-0.016741308236170233,0.016741308236170233,negligible
2137,F3765_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2138,F3764_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2139,F3763_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2140,F3762_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2141,F3761_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2142,F3760_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2143,F3759_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2144,F3758_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2145,F3766_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2146,F3833_missing,0,100.0,-0.016741308236170233,0.016741308236170233,negligible
2147,F3832_missing,0,100.0,-0.016741308236170233,0.016741308236170233,negligible
2148,F3795_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2149,F3794_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2150,F3793_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2151,F3792_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2152,F3791_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2153,F3790_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2154,F3780_missing,0,100.0,0.6334078842184699,0.6334078842184699,medium
2155,F3788_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2156,F3787_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2157,F3786_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2158,F3785_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2159,F3784_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2160,F3783_missing,0,100.0,0.6334078842184699,0.6334078842184699,medium
2161,F3782_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2162,F3781_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2163,F3789_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2164,F3592_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2165,F3591_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2166,F3590_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2167,F3589_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2168,F3588_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2169,F3587_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2170,F3586_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2171,F3688_missing,0,100.0,-0.011837700941399413,0.011837700941399413,negligible
2172,F3584_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2173,F3583_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2174,F3582_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2175,F3581_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2176,F3580_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2177,F3579_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2178,F3578_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2179,F3577_missing,0,100.0,-0.029006887063993576,0.029006887063993576,negligible
2180,F3585_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2181,F3609_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2182,F3608_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2183,F3607_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2184,F3606_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2185,F3605_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2186,F3604_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2187,F3603_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2188,F3593_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
2189,F3601_missing,0,100.0,-0.01674155382976254,0.01674155382976254,negligible
